"","mso_calc_type","region","season.annual.avg_loss","season.annual.beekeepers","season.annual.colonies","season.annual.exclusive_beekeepers","season.annual.exclusive_colonies","season.annual.operation.backyard","season.annual.operation.commercial","season.annual.operation.sideline","season.annual.total_loss","season.summer.avg_loss","season.summer.beekeepers","season.summer.colonies","season.summer.exclusive_beekeepers","season.summer.exclusive_colonies","season.summer.operation.backyard","season.summer.operation.commercial","season.summer.operation.sideline","season.summer.total_loss","season.winter.avg_loss","season.winter.beekeepers","season.winter.colonies","season.winter.exclusive_beekeepers","season.winter.exclusive_colonies","season.winter.operation.backyard","season.winter.operation.commercial","season.winter.operation.sideline","season.winter.total_loss","state","year"
"259","MSO in","South West",    33.81,    61.00,   403.00,    98.36,    79.65,    59.00,     0.00,     2.00,    38.23,    12.04,    62.00,   405.00,    98.39,    79.75,    60.00,     0.00,     2.00,     8.45,    32.72,   137.00,  1744.00,    97.08,    53.61,   132.00,     1.00,     4.00,    53.44,"Colorado","2010/11"
"260","MSO in","North East",    47.33,    42.00,   389.00,    85.71,    38.05,    40.00,     0.00,     2.00,    43.12,     9.26,    42.00,   389.00,    85.71,    38.05,    40.00,     0.00,     2.00,     9.82,    50.95,   102.00,   884.00,    95.10,    56.79,    99.00,     0.00,     3.00,    46.58,"Connecticut","2010/11"
"261","MSO in","North East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia","2010/11"
"262","MSO in","North East",    18.71,     7.00,    24.00,    85.71,    79.17,     7.00,     0.00,     0.00,    30.56,     8.99,     7.00,    24.00,    85.71,    79.17,     7.00,     0.00,     0.00,    13.89,    32.17,    15.00,    61.00,    93.33,    86.89,    15.00,     0.00,     0.00,    58.76,"Delaware","2010/11"
"263","MSO in","South East",    31.67,    56.00,  5564.00,    91.07,     6.97,    51.00,     3.00,     2.00,    57.70,    13.43,    58.00,  5684.00,    91.38,     8.94,    52.00,     3.00,     3.00,    21.05,    25.62,   133.00, 28065.00,    93.23,     7.32,   118.00,     7.00,     8.00,    40.32,"Florida","2010/11"
"264","MSO in","South East",    31.17,    60.00,  1213.00,    96.67,    20.77,    58.00,     1.00,     1.00,    84.79,    13.02,    60.00,  1213.00,    96.67,    20.77,    58.00,     1.00,     1.00,    22.59,    28.10,   143.00,  6006.00,    93.71,    22.13,   131.00,     1.00,    11.00,    63.93,"Georgia","2010/11"
"265","MSO in","Noncontiguous",    52.60,    31.00,  4987.00,   100.00,   100.00,    27.00,     1.00,     3.00,     7.87,    16.95,    33.00,  8690.00,   100.00,   100.00,    28.00,     2.00,     3.00,    26.83,    44.64,    42.00,  5392.00,   100.00,   100.00,    36.00,     1.00,     5.00,     7.77,"Hawaii","2010/11"
"266","MSO in","North West",    52.03,    13.00,  8428.00,    84.62,     0.33,    11.00,     2.00,     0.00,    20.64,    15.98,    13.00,  8428.00,    84.62,     0.33,    11.00,     2.00,     0.00,     6.26,    30.43,    27.00,  9325.00,    81.48,     1.03,    24.00,     2.00,     1.00,     5.76,"Idaho","2010/11"
"267","MSO in","Ohio Valley",    49.65,    55.00,   404.00,    94.55,    79.70,    52.00,     0.00,     3.00,    57.97,     7.97,    55.00,   404.00,    94.55,    79.70,    52.00,     0.00,     3.00,     9.59,    54.98,   136.00,  1045.00,    97.79,    95.50,   134.00,     0.00,     2.00,    45.01,"Illinois","2010/11"
"268","MSO in","Ohio Valley",    39.84,    59.00,  3458.00,    98.31,     7.46,    57.00,     1.00,     1.00,    33.81,     8.77,    59.00,  3458.00,    98.31,     7.46,    57.00,     1.00,     1.00,    18.90,    41.98,   152.00,  1205.00,   100.00,   100.00,   148.00,     0.00,     4.00,    46.15,"Indiana","2010/11"
"269","MSO in","Upper Mid West",    53.21,    14.00,   183.00,    85.71,    68.85,    12.00,     0.00,     2.00,    80.71,    13.78,    14.00,   183.00,    85.71,    68.85,    12.00,     0.00,     2.00,    37.10,    45.05,    28.00,   729.00,    96.43,    99.73,    26.00,     0.00,     2.00,    66.01,"Iowa","2010/11"
"270","MSO in","South",    30.87,    11.00,   104.00,    81.82,    51.92,    10.00,     0.00,     1.00,    38.86,     7.94,    11.00,   104.00,    81.82,    51.92,    10.00,     0.00,     1.00,    11.43,    22.09,    21.00,   401.00,    95.24,    98.00,    19.00,     0.00,     2.00,    14.46,"Kansas","2010/11"
"271","MSO in","Ohio Valley",    41.96,    21.00,   258.00,    95.24,    98.45,    20.00,     0.00,     1.00,    33.49,    13.78,    21.00,   258.00,    95.24,    98.45,    20.00,     0.00,     1.00,    13.90,    28.34,    55.00,   931.00,    98.18,    96.78,    47.00,     0.00,     8.00,    30.58,"Kentucky","2010/11"
"272","MSO in","South",    34.94,    12.00,  3958.00,    83.33,     2.48,     9.00,     1.00,     2.00,    63.62,    19.54,    13.00,  3962.00,    84.62,     2.57,    10.00,     1.00,     2.00,    42.56,    18.64,    17.00,  3411.00,    94.12,    17.33,    13.00,     1.00,     3.00,    25.13,"Louisiana","2010/11"
"273","MSO in","North East",    62.31,    42.00,  1128.00,    92.86,    13.83,    41.00,     1.00,     0.00,    86.89,    14.87,    42.00,  1128.00,    92.86,    13.83,    41.00,     1.00,     0.00,    21.72,    48.36,   106.00, 14614.00,    95.28,     4.36,   102.00,     3.00,     1.00,    45.93,"Maine","2010/11"
"274","MSO in","North East",    41.62,    82.00,   378.00,    98.78,    97.62,    81.00,     0.00,     1.00,    47.02,    16.86,    84.00,   381.00,    98.81,    97.64,    83.00,     0.00,     1.00,    25.67,    37.15,   172.00,  1456.00,    97.67,    94.64,   167.00,     0.00,     5.00,    49.45,"Maryland","2010/11"
"275","MSO in","North East",    58.26,    78.00,   301.00,    93.59,    83.72,    78.00,     0.00,     0.00,    60.79,    14.42,    80.00,   306.00,    93.75,    83.99,    80.00,     0.00,     0.00,    20.12,    46.25,   219.00, 13550.00,    95.43,    16.95,   215.00,     4.00,     0.00,    34.69,"Massachusetts","2010/11"
"276","MSO in","Upper Mid West",    63.78,    95.00,  5896.00,    96.84,    21.88,    85.00,     3.00,     7.00,    83.48,    15.72,    95.00,  5896.00,    96.84,    21.88,    85.00,     3.00,     7.00,     8.32,    62.72,   278.00, 21212.00,    98.20,    22.19,   260.00,     5.00,    13.00,    32.16,"Michigan","2010/11"
"277","MSO in","Upper Mid West",    60.94,    27.00, 23352.00,    77.78,     1.32,    21.00,     5.00,     1.00,    42.46,    17.74,    27.00, 23352.00,    77.78,     1.32,    21.00,     5.00,     1.00,    35.13,    50.78,    54.00,101255.00,    83.33,     9.70,    44.00,     8.00,     2.00,    32.03,"Minnesota","2010/11"
"278","MSO in","South",    48.47,     7.00, 19520.00,    57.14,     0.10,     4.00,     3.00,     0.00,    43.45,    20.02,     8.00, 25520.00,    50.00,     0.08,     4.00,     4.00,     0.00,    20.49,    12.77,    16.00, 96053.00,    68.75,     0.13,    11.00,     5.00,     0.00,    26.48,"Mississippi","2010/11"
"279","MSO out","Ohio Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    33.87,     9.00,  1365.00,   100.00,   100.00,     6.00,     2.00,     1.00,    42.43,"Ohio","2007/08"
"280","MSO in","Ohio Valley",    31.51,    71.00,   391.00,    97.18,    93.61,    71.00,     0.00,     0.00,    26.77,    12.19,    71.00,   391.00,    97.18,    93.61,    71.00,     0.00,     0.00,    10.30,    25.96,   161.00,  2350.00,   100.00,   100.00,   154.00,     0.00,     7.00,    28.59,"Missouri","2010/11"
"281","MSO in","Northern Rockies and Plains",    58.77,    15.00, 14788.00,    66.67,     0.60,    10.00,     5.00,     0.00,    19.57,    17.45,    15.00, 14788.00,    66.67,     0.60,    10.00,     5.00,     0.00,     9.62,    50.58,    26.00, 41933.00,    73.08,     0.29,    19.00,     7.00,     0.00,    20.37,"Montana","2010/11"
"282","MSO in","Northern Rockies and Plains",    40.82,     8.00,  8064.00,    87.50,     0.79,     7.00,     1.00,     0.00,    18.28,    13.92,     8.00,  8064.00,    87.50,     0.79,     7.00,     1.00,     0.00,    11.74,    29.49,    16.00, 79194.00,    81.25,     0.96,    12.00,     2.00,     2.00,    29.27,"Nebraska","2010/11"
"283","MSO in","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,     7.36,     6.00,  3775.00,    66.67,     0.66,     4.00,     2.00,     0.00,    26.89,"Nevada","2010/11"
"284","MSO in","North East",    62.37,    28.00,   305.00,   100.00,   100.00,    27.00,     0.00,     1.00,    35.36,    14.23,    29.00,   312.00,   100.00,   100.00,    28.00,     0.00,     1.00,    13.16,    55.36,    84.00,   890.00,    97.62,    98.65,    81.00,     0.00,     3.00,    31.37,"New Hampshire","2010/11"
"285","MSO in","North East",    26.41,    37.00,   169.00,    97.30,    99.41,    36.00,     0.00,     1.00,    27.76,    17.19,    39.00,   172.00,    97.44,    99.42,    38.00,     0.00,     1.00,    11.23,    30.95,   110.00,  2113.00,    90.00,    29.48,   101.00,     0.00,     9.00,    28.66,"New Jersey","2010/11"
"286","MSO in","South West",    16.11,     9.00,    17.00,   100.00,   100.00,     9.00,     0.00,     0.00,    10.34,    12.50,    10.00,    18.00,   100.00,   100.00,    10.00,     0.00,     0.00,     9.68,    19.03,    24.00,   185.00,    95.83,    98.92,    23.00,     0.00,     1.00,    11.70,"New Mexico","2010/11"
"287","MSO in","North East",    52.52,    78.00,  2842.00,    87.18,    14.57,    71.00,     2.00,     5.00,    68.09,    10.90,    78.00,  2842.00,    87.18,    14.57,    71.00,     2.00,     5.00,    17.10,    44.16,   217.00,  7912.00,    92.17,    26.55,   202.00,     3.00,    12.00,    58.54,"New York","2010/11"
"288","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2014/15"
"289","MSO in","N/A",    44.55,   145.00,246407.00,     0.00,     0.00,    62.00,    53.00,    30.00,    42.55,    19.81,   155.00,275058.00,     0.00,     0.00,    67.00,    58.00,    30.00,    28.05,    34.05,   164.00,297803.00,     0.00,     0.00,    73.00,    57.00,    34.00,    20.91,"MultiStateOperation","2014/15"
"290","MSO in","South East",    29.94,   293.00,  2247.00,    95.56,    91.86,   287.00,     0.00,     6.00,    42.26,    12.71,   299.00,  2277.00,    95.65,    91.96,   293.00,     0.00,     6.00,    25.72,    25.76,   615.00,  7423.00,    96.42,    75.56,   597.00,     2.00,    16.00,    24.72,"North Carolina","2010/11"
"291","MSO in","Northern Rockies and Plains",    41.75,    14.00, 39557.00,    35.71,     0.02,     5.00,     7.00,     2.00,    27.49,    15.86,    15.00, 45557.00,    33.33,     0.02,     5.00,     8.00,     2.00,    18.26,    33.90,    21.00,131159.00,    38.10,     0.39,     7.00,    12.00,     2.00,    24.59,"North Dakota","2010/11"
"292","MSO in","Ohio Valley",    37.51,   110.00,   424.00,   100.00,   100.00,   110.00,     0.00,     0.00,    39.79,     7.42,   112.00,   431.00,   100.00,   100.00,   112.00,     0.00,     0.00,     8.05,    38.65,   242.00,  1577.00,    99.59,    99.94,   240.00,     0.00,     2.00,    42.58,"Ohio","2010/11"
"293","MSO in","South",    31.20,    15.00,   321.00,    80.00,    95.33,    13.00,     0.00,     2.00,    31.98,    12.60,    15.00,   321.00,    80.00,    95.33,    13.00,     0.00,     2.00,     2.73,    29.24,    31.00,   628.00,    93.55,    98.09,    28.00,     0.00,     3.00,    16.52,"Oklahoma","2010/11"
"294","MSO in","North West",    30.12,    73.00, 11920.00,    91.78,     2.23,    69.00,     2.00,     2.00,    19.88,     8.70,    74.00, 11923.00,    91.89,     2.26,    70.00,     2.00,     2.00,     9.14,    29.26,   178.00, 19611.00,    92.13,     5.86,   166.00,     4.00,     8.00,     9.49,"Oregon","2010/11"
"295","MSO in","North East",    50.60,   207.00,  2786.00,    97.10,    54.27,   197.00,     1.00,     9.00,    72.77,     9.65,   207.00,  2786.00,    97.10,    54.27,   197.00,     1.00,     9.00,    17.83,    48.90,   430.00,  7150.00,    98.37,    52.73,   417.00,     1.00,    12.00,    67.05,"Pennsylvania","2010/11"
"296","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Puerto Rico","2010/11"
"297","MSO in","North East",    51.98,    25.00,    84.00,    96.00,    96.43,    25.00,     0.00,     0.00,    48.67,     8.98,    25.00,    84.00,    96.00,    96.43,    25.00,     0.00,     0.00,     8.85,    46.17,    66.00,   214.00,    95.45,    94.39,    66.00,     0.00,     0.00,    48.67,"Rhode Island","2010/11"
"298","MSO in","South East",    31.19,    42.00,   865.00,    88.10,    25.55,    41.00,     0.00,     1.00,    24.79,    15.78,    42.00,   865.00,    88.10,    25.55,    41.00,     0.00,     1.00,    14.36,    19.90,    82.00,  2757.00,    89.02,    21.33,    75.00,     1.00,     6.00,    39.04,"South Carolina","2010/11"
"299","MSO in","Northern Rockies and Plains",    32.86,     6.00,   933.00,    83.33,     3.54,     5.00,     1.00,     0.00,    44.81,     4.26,     6.00,   933.00,    83.33,     3.54,     5.00,     1.00,     0.00,    25.17,    22.97,    18.00, 78217.00,    77.78,     0.10,    14.00,     4.00,     0.00,    31.73,"South Dakota","2010/11"
"300","MSO in","Ohio Valley",    31.01,    43.00,   267.00,    90.70,    80.15,    42.00,     0.00,     1.00,    36.39,    12.73,    45.00,   270.00,    91.11,    80.37,    44.00,     0.00,     1.00,    14.39,    21.72,    90.00,   691.00,    94.44,    83.36,    88.00,     0.00,     2.00,    22.27,"Tennessee","2010/11"
"301","MSO in","South",    20.68,    36.00, 30219.00,    77.78,     2.55,    28.00,     7.00,     1.00,    30.24,    10.20,    37.00, 36219.00,    75.68,     2.13,    28.00,     8.00,     1.00,    20.39,    20.26,    76.00,112874.00,    84.21,     1.40,    62.00,    12.00,     2.00,    25.84,"Texas","2010/11"
"302","MSO in","South West",    34.67,    46.00,  1778.00,    95.65,     8.66,    45.00,     1.00,     0.00,    27.14,     8.11,    46.00,  1778.00,    95.65,     8.66,    45.00,     1.00,     0.00,    12.66,    32.91,   117.00,  4779.00,    98.29,    49.59,   114.00,     2.00,     1.00,    29.47,"Utah","2010/11"
"303","MSO in","North East",    41.54,    35.00,   790.00,    88.57,    18.86,    34.00,     1.00,     0.00,    25.51,     5.83,    35.00,   790.00,    88.57,    18.86,    34.00,     1.00,     0.00,     9.30,    41.17,   119.00,  1551.00,    95.80,    94.26,   117.00,     1.00,     1.00,    26.71,"Vermont","2010/11"
"304","MSO in","South East",    34.15,   171.00,   804.00,    97.66,    94.53,   169.00,     0.00,     2.00,    40.39,    10.72,   176.00,   817.00,    97.73,    94.61,   174.00,     0.00,     2.00,    12.29,    33.60,   406.00,  4145.00,    95.81,    58.60,   391.00,     0.00,    15.00,    31.21,"Virginia","2010/11"
"305","MSO in","North West",    36.33,    68.00, 14664.00,    89.71,     2.32,    60.00,     5.00,     3.00,    20.55,     9.93,    69.00, 14665.00,    89.86,     2.33,    61.00,     5.00,     3.00,     9.37,    41.62,   150.00, 23991.00,    94.67,     5.90,   138.00,     6.00,     6.00,    23.42,"Washington","2010/11"
"306","MSO in","Ohio Valley",    40.72,    25.00,   193.00,    92.00,    48.70,    24.00,     0.00,     1.00,    78.59,     6.06,    25.00,   193.00,    92.00,    48.70,    24.00,     0.00,     1.00,    37.13,    48.34,    56.00,   559.00,    91.07,    85.51,    54.00,     0.00,     2.00,    54.48,"West Virginia","2010/11"
"307","MSO in","Upper Mid West",    51.88,    50.00,  3773.00,    92.00,    14.02,    48.00,     1.00,     1.00,    34.59,    14.29,    50.00,  3773.00,    92.00,    14.02,    48.00,     1.00,     1.00,    19.29,    57.74,   126.00,  2904.00,    96.03,    96.90,   121.00,     1.00,     4.00,    66.33,"Wisconsin","2010/11"
"308","MSO in","Northern Rockies and Plains",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    30.46,     8.00,  3481.00,    87.50,    99.89,     7.00,     1.00,     0.00,    18.58,"Wyoming","2010/11"
"309","MSO in","South East",    17.83,    25.00,   388.00,    96.00,    99.74,    24.00,     0.00,     1.00,    26.98,     9.46,    27.00,   399.00,    96.30,    99.75,    26.00,     0.00,     1.00,    24.76,    13.29,    40.00,   539.00,    95.00,    98.52,    38.00,     0.00,     2.00,     7.80,"Alabama","2011/12"
"310","MSO in","Noncontiguous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alaska","2011/12"
"311","MSO in","South West",    19.28,     7.00,   275.00,    71.43,    47.27,     5.00,     0.00,     2.00,    26.79,     1.86,     7.00,   275.00,    71.43,    47.27,     5.00,     0.00,     2.00,     6.71,    22.94,     8.00,   447.00,    75.00,    48.32,     6.00,     0.00,     2.00,    24.50,"Arizona","2011/12"
"312","MSO in","South",    39.88,    25.00,   273.00,    96.00,    76.19,    23.00,     0.00,     2.00,    38.22,    13.41,    25.00,   273.00,    96.00,    76.19,    23.00,     0.00,     2.00,    19.78,    26.98,    41.00,   383.00,    97.56,    83.81,    39.00,     0.00,     2.00,    21.43,"Arkansas","2011/12"
"313","MSO out","West",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    37.77,     5.00, 16865.00,   100.00,   100.00,     0.00,     5.00,     0.00,    51.30,"California","2007/08"
"314","MSO in","West",    36.62,   188.00,118536.00,    81.91,    28.06,   140.00,    30.00,    18.00,    29.57,    12.10,   189.00,118537.00,    82.01,    28.06,   141.00,    30.00,    18.00,    17.64,    29.83,   301.00,245111.00,    85.38,    20.09,   237.00,    39.00,    25.00,    23.09,"California","2011/12"
"315","MSO in","South West",    46.61,    69.00,   544.00,    98.55,    77.02,    66.00,     0.00,     3.00,    38.13,    13.46,    70.00,   545.00,    98.57,    77.06,    67.00,     0.00,     3.00,    14.88,    39.02,   129.00,  1227.00,    98.45,    78.00,   124.00,     0.00,     5.00,    31.50,"Colorado","2011/12"
"316","MSO in","North East",    29.20,    31.00,   224.00,    87.10,    45.54,    30.00,     0.00,     1.00,    24.32,     6.03,    31.00,   224.00,    87.10,    45.54,    30.00,     0.00,     1.00,     4.08,    35.23,    60.00,   682.00,    91.67,    73.02,    58.00,     0.00,     2.00,    23.68,"Connecticut","2011/12"
"317","MSO in","North East",    19.40,     5.00,  1266.00,   100.00,   100.00,     4.00,     1.00,     0.00,    85.35,    10.81,     5.00,  1266.00,   100.00,   100.00,     4.00,     1.00,     0.00,    53.30,    12.24,    11.00,  3062.00,    90.91,    94.19,     8.00,     2.00,     1.00,    23.84,"District of Columbia","2011/12"
"318","MSO in","North East",    30.53,    20.00,   138.00,    90.00,    79.71,    18.00,     0.00,     2.00,    52.18,    10.85,    20.00,   138.00,    90.00,    79.71,    18.00,     0.00,     2.00,     9.20,    31.64,    29.00,   420.00,    89.66,    48.81,    27.00,     0.00,     2.00,    47.77,"Delaware","2011/12"
"319","MSO in","South East",    26.34,    78.00, 28095.00,    88.46,    12.28,    65.00,     9.00,     4.00,    44.55,    15.26,    82.00, 28148.00,    87.80,    12.35,    69.00,     9.00,     4.00,    36.19,    22.29,   106.00, 35153.00,    90.57,    31.78,    86.00,    12.00,     8.00,    24.64,"Florida","2011/12"
"320","MSO in","South East",    28.43,    98.00,  7617.00,    91.84,     9.85,    93.00,     3.00,     2.00,    54.67,    12.90,    99.00,  7618.00,    91.92,     9.86,    94.00,     3.00,     2.00,    35.13,    22.19,   148.00, 10446.00,    93.92,    14.54,   141.00,     4.00,     3.00,    40.11,"Georgia","2011/12"
"321","MSO in","Noncontiguous",    33.99,    20.00, 11097.00,   100.00,   100.00,    15.00,     3.00,     2.00,    20.41,    17.08,    20.00, 11097.00,   100.00,   100.00,    15.00,     3.00,     2.00,    18.21,    23.46,    29.00,  9903.00,   100.00,   100.00,    24.00,     3.00,     2.00,     5.50,"Hawaii","2011/12"
"322","MSO in","North West",    34.05,    22.00,  5416.00,    81.82,     1.35,    19.00,     3.00,     0.00,    24.74,    12.51,    22.00,  5416.00,    81.82,     1.35,    19.00,     3.00,     0.00,    17.76,    34.82,    42.00, 12203.00,    90.48,    56.72,    38.00,     4.00,     0.00,    11.48,"Idaho","2011/12"
"323","MSO in","Ohio Valley",    38.42,    54.00,   407.00,    98.15,    78.62,    52.00,     0.00,     2.00,    52.56,    11.25,    54.00,   407.00,    98.15,    78.62,    52.00,     0.00,     2.00,    16.32,    29.41,    93.00,  1085.00,    97.85,    66.91,    91.00,     0.00,     2.00,    41.86,"Illinois","2011/12"
"324","MSO in","Ohio Valley",    23.00,    62.00,  1421.00,    95.16,    28.50,    59.00,     1.00,     2.00,    19.19,     7.94,    62.00,  1421.00,    95.16,    28.50,    59.00,     1.00,     2.00,    10.86,    20.53,    88.00,  2168.00,    96.59,    36.62,    85.00,     1.00,     2.00,    10.87,"Indiana","2011/12"
"325","MSO in","Upper Mid West",    21.66,    24.00,   258.00,    95.83,    66.28,    22.00,     0.00,     2.00,    45.79,     8.89,    24.00,   258.00,    95.83,    66.28,    22.00,     0.00,     2.00,    10.91,    15.02,    39.00,  1525.00,    97.44,    76.72,    34.00,     1.00,     4.00,    40.37,"Iowa","2011/12"
"326","MSO in","South",    25.28,    15.00,   454.00,    86.67,    33.92,    12.00,     0.00,     3.00,    34.12,     7.68,    15.00,   454.00,    86.67,    33.92,    12.00,     0.00,     3.00,    17.80,    21.46,    23.00,   534.00,    91.30,    46.63,    20.00,     0.00,     3.00,    22.60,"Kansas","2011/12"
"327","MSO in","Ohio Valley",    31.32,    30.00,   371.00,    96.67,    97.30,    28.00,     0.00,     2.00,    35.96,     9.67,    30.00,   371.00,    96.67,    97.30,    28.00,     0.00,     2.00,     8.97,    25.56,    46.00,   705.00,    97.83,    92.91,    44.00,     0.00,     2.00,    30.54,"Kentucky","2011/12"
"328","MSO in","South",    43.09,    14.00,   891.00,   100.00,   100.00,    12.00,     0.00,     2.00,    50.33,    22.48,    14.00,   891.00,   100.00,   100.00,    12.00,     0.00,     2.00,    54.27,    18.97,    23.00,  2514.00,   100.00,   100.00,    20.00,     1.00,     2.00,     9.72,"Louisiana","2011/12"
"329","MSO in","North East",    21.09,    77.00, 18177.00,    92.21,     2.53,    70.00,     3.00,     4.00,    51.48,    11.09,    77.00, 18177.00,    92.21,     2.53,    70.00,     3.00,     4.00,    45.54,    13.75,   139.00, 20812.00,    94.96,     4.70,   131.00,     4.00,     4.00,    25.76,"Maine","2011/12"
"330","MSO in","North East",    26.86,   202.00,   797.00,    98.51,    95.36,   200.00,     0.00,     2.00,    37.60,    12.13,   205.00,  1069.00,    98.54,    96.54,   202.00,     0.00,     3.00,    17.53,    18.34,   335.00,  2187.00,    97.91,    71.97,   330.00,     0.00,     5.00,    26.60,"Maryland","2011/12"
"331","MSO in","North East",    35.56,   129.00, 13079.00,    95.35,     3.45,   125.00,     1.00,     3.00,    47.76,     9.97,   129.00, 13079.00,    95.35,     3.45,   125.00,     1.00,     3.00,    45.60,    30.16,   221.00, 12212.00,    96.38,    16.62,   215.00,     2.00,     4.00,    19.42,"Massachusetts","2011/12"
"332","MSO in","Upper Mid West",    34.32,   119.00,  6003.00,    97.48,    16.71,   109.00,     3.00,     7.00,    22.61,     8.52,   120.00,  6028.00,    96.67,    16.64,   110.00,     3.00,     7.00,    13.27,    28.62,   237.00,  9293.00,    98.31,    38.18,   221.00,     4.00,    12.00,    17.58,"Michigan","2011/12"
"333","MSO in","Upper Mid West",    42.37,    33.00,   387.00,    96.97,    96.90,    32.00,     0.00,     1.00,    37.11,    14.58,    33.00,   387.00,    96.97,    96.90,    32.00,     0.00,     1.00,    13.43,    42.75,    63.00,   757.00,    98.41,    98.02,    62.00,     0.00,     1.00,    30.98,"Minnesota","2011/12"
"334","MSO in","South",    18.85,     5.00,    33.00,   100.00,   100.00,     5.00,     0.00,     0.00,    21.28,     4.21,     5.00,    33.00,   100.00,   100.00,     5.00,     0.00,     0.00,     8.89,    14.33,    13.00, 72290.00,    84.62,     0.12,    11.00,     2.00,     0.00,    34.21,"Mississippi","2011/12"
"335","MSO in","Ohio Valley",    18.07,    56.00,   519.00,    96.43,    60.69,    52.00,     0.00,     4.00,    25.93,     7.47,    57.00,   520.00,    96.49,    60.77,    53.00,     0.00,     4.00,    13.55,    14.68,    97.00,  1454.00,    97.94,    86.73,    88.00,     0.00,     9.00,    11.71,"Missouri","2011/12"
"336","MSO in","Northern Rockies and Plains",    25.92,    16.00, 21511.00,    62.50,     5.07,     9.00,     6.00,     1.00,    15.76,     9.63,    16.00, 21511.00,    62.50,     5.07,     9.00,     6.00,     1.00,    10.58,    12.21,    33.00, 22862.00,    81.82,     5.28,    26.00,     6.00,     1.00,     7.40,"Montana","2011/12"
"337","MSO in","Northern Rockies and Plains",    43.47,     6.00,  9514.00,    83.33,     0.15,     5.00,     1.00,     0.00,    25.84,    10.60,     6.00,  9514.00,    83.33,     0.15,     5.00,     1.00,     0.00,     5.29,    39.81,     9.00,  9038.00,    88.89,     0.42,     8.00,     1.00,     0.00,    23.37,"Nebraska","2011/12"
"338","MSO in","West",    35.13,    11.00,  1602.00,    72.73,     3.25,     8.00,     1.00,     2.00,    32.75,     6.90,    11.00,  1602.00,    72.73,     3.25,     8.00,     1.00,     2.00,     7.09,    34.19,    18.00,  1660.00,    77.78,     4.04,    15.00,     1.00,     2.00,    28.06,"Nevada","2011/12"
"339","MSO in","North East",    28.17,    34.00,   363.00,    88.24,    82.37,    32.00,     0.00,     2.00,    30.99,    15.96,    34.00,   363.00,    88.24,    82.37,    32.00,     0.00,     2.00,    16.18,    17.54,    63.00,   857.00,    92.06,    83.55,    60.00,     0.00,     3.00,    19.46,"New Hampshire","2011/12"
"340","MSO in","North East",    25.50,    47.00,   412.00,    85.11,    82.52,    44.00,     0.00,     3.00,    25.41,    10.48,    47.00,   412.00,    85.11,    82.52,    44.00,     0.00,     3.00,    15.34,    18.08,    72.00,  5195.00,    87.50,    10.66,    68.00,     1.00,     3.00,    18.55,"New Jersey","2011/12"
"341","MSO in","South West",    21.56,    10.00,   168.00,   100.00,   100.00,     9.00,     0.00,     1.00,    37.61,     4.60,    10.00,   168.00,   100.00,   100.00,     9.00,     0.00,     1.00,     4.76,    22.80,    14.00,   214.00,   100.00,   100.00,    13.00,     0.00,     1.00,    36.24,"New Mexico","2011/12"
"342","MSO in","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other","2015/16"
"343","MSO in","N/A",    35.76,   143.00,309643.00,     0.00,     0.00,    63.00,    68.00,    12.00,    39.75,    17.73,   149.00,330353.00,     0.00,     0.00,    65.00,    72.00,    12.00,    23.72,    26.61,   162.00,338628.00,     0.00,     0.00,    75.00,    71.00,    16.00,    26.40,"MultiStateOperation","2015/16"
"344","MSO in","North East",    32.18,   125.00,  8073.00,    91.20,    13.37,   111.00,     3.00,    11.00,    50.83,    11.09,   125.00,  8073.00,    91.20,    13.37,   111.00,     3.00,    11.00,    34.59,    25.49,   191.00, 14102.00,    92.67,    16.48,   175.00,     4.00,    12.00,    28.86,"New York","2011/12"
